Id,Label,Description,Area
SS Khan,SS Khan,460.16666666666663,Unknown
A Dhall,A Dhall,577.7333333333333,Unknown
R Goecke,R Goecke,564.7333333333333,Unknown
T Gedeon,T Gedeon,564.7333333333333,Unknown
YA Ioannou,YA Ioannou,265.5,Unknown
JE Gastle,JE Gastle,265.5,Unknown
N Asghar,N Asghar,659.2333333333332,Unknown
X Jiang,X Jiang,587.7333333333332,Unknown
P Olivier,P Olivier,667.8333333333333,Unknown
G Xu,G Xu,214.5,Unknown
A Monk,A Monk,708.9761904761905,Unknown
T Plötz,T Plötz,213.33333333333331,Unknown
C Pham,C Pham,213.33333333333331,Unknown
S Teipel,S Teipel,287.2857142857143,Unknown
C Babiloni,C Babiloni,205.0,Unknown
J Kaye,J Kaye,306.1428571428572,Unknown
T Kirste,T Kirste,287.2857142857143,Unknown
OK Burmeister,OK Burmeister,205.0,Unknown
A Alhothali,A Alhothali,283.0,Unknown
R Goetschalckx,R Goetschalckx,231.4333333333333,Unknown
C Nugent,C Nugent,233.33333333333334,Unknown
JJ Little,JJ Little,369.71428571428567,Unknown
L Young,L Young,229.71428571428567,Unknown
A Von Bertoldi,A Von Bertoldi,396.5,Unknown
P Elinas,P Elinas,316.71428571428567,Unknown
RZL Hu,RZL Hu,216.66666666666669,Unknown
A Hartfiel,A Hartfiel,216.66666666666669,Unknown
J Tung,J Tung,309.93333333333334,Unknown
A Fakih,A Fakih,243.86666666666673,Unknown
JM Robillard,JM Robillard,248.75238095238097,Unknown
A König,A König,205.4190476190476,Unknown
M Hancock,M Hancock,312.43333333333334,Unknown
A Malhotra,A Malhotra,222.16666666666669,Unknown
E Horvitz,E Horvitz,470.00000000000017,Unknown
M Hajiabadi,Mohammad Hajiabadi,425.39999999999986,crypto
S Garg,S Garg,419.7333333333331,Unknown
D Wichs,D Wichs,348.53333333333336,Unknown
I Soboroff,I Soboroff,2520.733333333333,Unknown
K Collins-Thompson,K Collins-Thompson,311.1,Unknown
C Macdonald,C Macdonald,1163.633333333333,Unknown
EM Voorhees,EM Voorhees,469.0,Unknown
SE Sim,SE Sim,298.0,Unknown
A Dean-Hall,A Dean-Hall,284.03333333333336,Unknown
P Thomas,P Thomas,233.83333333333331,Unknown
N Simone,N Simone,208.33333333333331,Unknown
E Voorhees,E Voorhees,208.33333333333331,Unknown
PCK Yeung,PCK Yeung,221.5,Unknown
Q Guo,Q Guo,280.5,Unknown
JS Whissell,JS Whissell,207.66666666666666,Unknown
J Mackenzie,J Mackenzie,261.79999999999995,Unknown
M Crane,M Crane,532.4095238095239,Unknown
A Trotman,A Trotman,527.6666666666666,Unknown
I Ounis,I Ounis,919.6999999999998,Unknown
E Law,Edith Law,3322.057142857142,hci
B Wong-On-Wing,B Wong-On-Wing,1242.3333333333337,Unknown
L Guo,L Guo,668.8333333333333,Unknown
D Yang,D Yang,494.75,Unknown
G Lui,G Lui,447.3333333333333,Unknown
J Gao,J Gao,397.53333333333336,Unknown
R Greenberg,R Greenberg,337.33333333333337,Unknown
A Garg,A Garg,820.0666666666666,Unknown
L Gurvits,L Gurvits,365.0,Unknown
R Oliveira,Rafael Mendes de Oliveira,1055.366666666667,theory
Z Allen-Zhu,Z Allen-Zhu,243.10000000000002,Unknown
P Bürgisser,P Bürgisser,233.13333333333335,Unknown
M Walter,M Walter,256.1333333333333,Unknown
O Goldreich,O Goldreich,478.5,Unknown
S Shalev-Shwartz,S Shalev-Shwartz,5581.166666666665,Unknown
J Blitzer,J Blitzer,6841.166666666667,Unknown
K Crammer,K Crammer,6841.166666666667,Unknown
A Kulesza,A Kulesza,4151.666666666667,Unknown
F Pereira,F Pereira,6841.166666666666,Unknown
JW Vaughan,JW Vaughan,4151.666666666667,Unknown
D Kifer,D Kifer,1406.6666666666667,Unknown
J Gehrke,J Gehrke,1472.0000000000002,Unknown
A Borodin,A Borodin,1111.7333333333333,Unknown
N Cesa-Bianchi,N Cesa-Bianchi,1057.5,Unknown
D Haussler,D Haussler,1057.5,Unknown
R Schuller,R Schuller,557.3333333333333,Unknown
M Donini,M Donini,512.9,Unknown
L Oneto,L Oneto,502.4,Unknown
JS Shawe-Taylor,JS Shawe-Taylor,502.4,Unknown
M Pontil,M Pontil,512.9,Unknown
U Luxburg,U Luxburg,376.0,Unknown
D Pál,D Pál,1280.0,Unknown
SB David,SB David,467.33333333333337,Unknown
T Lu,T Lu,585.3333333333334,Unknown
T Luu,T Luu,366.0,Unknown
M Ackerman,M Ackerman,820.5,Unknown
I Beer,I Beer,366.66666666666674,Unknown
C Eisner,C Eisner,338.33333333333337,Unknown
D Fisman,D Fisman,338.33333333333337,Unknown
A Gringauze,A Gringauze,403.76666666666677,Unknown
Y Rodeh,Y Rodeh,338.33333333333337,Unknown
N Eiron,N Eiron,462.0,Unknown
PM Long,PM Long,296.0,Unknown
P Long,P Long,239.5,Unknown
HU Simon,HU Simon,364.3333333333333,Unknown
N Srebro,N Srebro,214.66666666666666,Unknown
S Brânzei,S Brânzei,294.79999999999995,Unknown
D Loker,D Loker,462.5,Unknown
S Kushagra,S Kushagra,206.5333333333334,Unknown
R Urner,R Urner,502.2666666666667,Unknown
G Beskales,G Beskales,2894.7666666666682,Unknown
MA Soliman,MA Soliman,3359.3,Unknown
S Halevi,S Halevi,1131.9999999999998,Unknown
